Timestamp, Latitude, Longitude, Set Heading, Real Heading, CTE, Set Left Vel, Set Right Vel, curr Left Vel, Curr Right Vel
1.215000000, 10.774365000, 106.659272900, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.245000000, 10.774365000, 106.659272900, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.275000000, 10.774365000, 106.659272900, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.307000000, 10.774365000, 106.659272900, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.342000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.367000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.397000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.440000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.459000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.490000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.519000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.549000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.592000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.611000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.641000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.671000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.701000000, 10.774365300, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.746000000, 10.774365100, 106.659273100, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.763000000, 10.774365100, 106.659273100, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.793000000, 10.774365100, 106.659273100, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.823000000, 10.774365100, 106.659273100, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.855000000, 10.774365100, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.890000000, 10.774365100, 106.659273100, 162.399993896, 98.599998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.915000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1.945000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
